Vessel Name,Call No,Order,Seq,Voyage Status,Port Name,Port Func,BL Code,BL Quantity,BL Date,Cargo Short Name,Arrival Local,Departure Local,Flag,Port Days,Sea Days,Port & Sea Days,Commence Date Gmt,Complete Date Gmt,total voyage days,Vessel Code,LS Sea Days,Total Sea Days,Total Port Days,Ownership,Cargo Group,Port Region,ETB,FunctionName,Region Code
ANDREAS K,ANDRK-1,1000,1000,Completed,GIBRALTAR,F,,,,,2021-12-03T09:30:00,2021-12-04T05:00:00,,0.8125,2.375,3.1875,2021-09-15T13:30:00,2021-12-14T16:50:00,90.138888875,ANDRK,0.0,48.1625,41.9763888888889,Time Charter,,Gibraltar,2021-12-03T09:30:00,FUELING,EURO
ANNI SELMER,ANSEL-1,100,100,Completed,MILAKI,L,,49500.0,2022-07-23T00:00:00,cement,2022-07-13T18:24:00,2022-07-24T10:00:00,,10.65,5.58333333333333,16.2333333333333,2022-07-13T15:24:00,2022-09-05T07:00:00,53.65,ANSEL,0.0,21.6041666666667,32.0458333333333,Time Charter,OTHER BULK,Mediterranean,2022-07-13T19:54:00,LOADING,EURO
ANNI SELMER,ANSEL-1,200,200,Completed,GIBRALTAR,F,,,,,2022-07-29T23:00:00,2022-08-01T07:30:00,,2.35416666666667,16.0208333333333,18.375,2022-07-13T15:24:00,2022-09-05T07:00:00,53.65,ANSEL,0.0,21.6041666666667,32.0458333333333,Time Charter,,Gibraltar,2022-07-29T23:00:00,FUELING,EURO
ANNI SELMER,ANSEL-1,300,300,Completed,TAMPA,D,,0.0,,cement,2022-08-17T02:00:00,2022-09-05T03:00:00,,19.0416666666667,0.0,19.0416666666667,2022-07-13T15:24:00,2022-09-05T07:00:00,53.65,ANSEL,1.92031286413423,21.6041666666667,32.0458333333333,Time Charter,OTHER BULK,United States,2022-08-17T08:12:00,DISCHARGING,NAMR
ANNIKA N,ANNIN-1,300,300,Completed,SKAW,F,,,,,2024-09-13T15:30:00,2024-09-14T08:00:00,,0.6875,15.4583333333333,16.1458333333333,2024-09-02T22:01:00,2024-10-16T04:10:00,43.25625,ANNIN,2.42666666666667,20.0513888888889,23.2048611111111,Time Charter,,North Europe,2024-09-13T15:30:00,FUELING,EURO
ANNIKA N,ANNIN-1,600,700,Completed,LAGOS (NIGERIA),D,,53400.0,,wheat rmw,2024-09-29T18:00:00,2024-10-16T05:10:00,,16.4652777777778,0.0,16.4652777777778,2024-09-02T22:01:00,2024-10-16T04:10:00,43.25625,ANNIN,0.923333333333333,20.0513888888889,23.2048611111111,Time Charter,GRAINS,W Africa,2024-10-05T14:48:00,DISCHARGING,AFRA
ANNIKA N,ANNIN-1,200,200,Completed,RIGA,L,,53400.0,,wheat rmw,2024-09-04T20:15:00,2024-09-10T21:30:00,,6.05208333333333,2.79166666666667,8.84375,2024-09-02T22:01:00,2024-10-16T04:10:00,43.25625,ANNIN,2.35116898148148,20.0513888888889,23.2048611111111,Time Charter,GRAINS,Baltic,2024-09-05T02:30:00,LOADING,EURO
APHROS,APHRO-1,200,300,Completed,KLAIPEDA,L,,54000.264,,wheat rmw,2023-09-06T08:00:00,2023-09-15T03:00:00,,8.79166666666667,1.0625,9.85416666666667,2023-09-04T17:10:00,2023-10-21T09:18:00,46.6722222083,APHRO,2.07533333333333,21.1805555555556,25.4916666666667,Time Charter,GRAINS,Baltic,2023-09-06T19:15:00,LOADING,EURO
APHROS,APHRO-1,600,600,Completed,LAGOS (NIGERIA),D,,38004.0,2023-10-11T00:00:00,wheat rmw,2023-10-05T10:00:00,2023-10-11T10:00:00,,6.0,1.125,7.125,2023-09-04T17:10:00,2023-10-21T09:18:00,46.6722222083,APHRO,0.0,21.1805555555556,25.4916666666667,Time Charter,GRAINS,W Africa,2023-10-05T18:12:00,DISCHARGING,AFRA
APHROS,APHRO-1,700,700,Completed,CALABAR,D,,15996.264,,wheat rmw,2023-10-12T13:00:00,2023-10-21T10:18:00,,8.8875,0.0,8.8875,2023-09-04T17:10:00,2023-10-21T09:18:00,46.6722222083,APHRO,0.0,21.1805555555556,25.4916666666667,Time Charter,GRAINS,W Africa,2023-10-12T19:40:00,DISCHARGING,AFRA
